time	event_type	event	left	right	bottom	top
31.399993767	stimulus	1a	0.283	0.384	0.412	0.582
43.399993767	stimulus	1b	0.616	0.718	0.412	0.582
51.399993767	stimulus	2a	0.283	0.384	0.412	0.582
62.399993767	stimulus	2b	0.616	0.718	0.412	0.582
69.399993767	stimulus	1a	0.283	0.384	0.412	0.582
76.399993767	stimulus	1b	0.616	0.718	0.412	0.582
83.399993767	stimulus	2a	0.283	0.384	0.412	0.582
89.399993767	stimulus	2b	0.616	0.718	0.412	0.582
94.399993767	stimulus	1a	0.283	0.384	0.412	0.582
99.399993767	stimulus	1b	0.616	0.718	0.412	0.582
105.399993767	stimulus	2a	0.283	0.384	0.412	0.582
112.399993767	stimulus	2b	0.616	0.718	0.412	0.582
121.399993767	stimulus	1a	0.283	0.384	0.412	0.582
128.399993767	stimulus	1b	0.616	0.718	0.412	0.582
136.399993767	stimulus	2a	0.283	0.384	0.412	0.582
147.399993767	stimulus	2b	0.616	0.718	0.412	0.582
153.399993767	stimulus	1a	0.283	0.384	0.412	0.582
161.399993767	stimulus	1b	0.616	0.718	0.412	0.582
171.399993767	stimulus	2a	0.283	0.384	0.412	0.582
179.399993767	stimulus	2b	0.616	0.718	0.412	0.582
184.399993767	stimulus	1a	0.283	0.384	0.412	0.582
192.399993767	stimulus	1b	0.616	0.718	0.412	0.582
204.399993767	stimulus	2a	0.283	0.384	0.412	0.582
215.399993767	stimulus	2b	0.616	0.718	0.412	0.582
221.399993767	stimulus	1a	0.283	0.384	0.412	0.582
226.399993767	stimulus	1b	0.616	0.718	0.412	0.582
235.399993767	stimulus	2a	0.283	0.384	0.412	0.582
247.399993767	stimulus	2b	0.616	0.718	0.412	0.582
254.399993767	stimulus	1a	0.283	0.384	0.412	0.582
264.399993767	stimulus	1b	0.616	0.718	0.412	0.582
270.399993767	stimulus	2a	0.283	0.384	0.412	0.582
279.399993767	stimulus	2b	0.616	0.718	0.412	0.582
289.399993767	stimulus	1a	0.283	0.384	0.412	0.582
295.399993767	stimulus	1b	0.616	0.718	0.412	0.582
303.399993767	stimulus	2a	0.283	0.384	0.412	0.582
312.399993767	stimulus	2b	0.616	0.718	0.412	0.582
320.399993767	stimulus	1a	0.283	0.384	0.412	0.582
331.399993767	stimulus	1b	0.616	0.718	0.412	0.582
31.399993767	virtual	S	NA	NA	NA	NA
33.799966867	response	R	NA	NA	NA	NA
35.732000267	response	R	NA	NA	NA	NA
38.000003467	response	R	NA	NA	NA	NA
40.467982267	response	R	NA	NA	NA	NA
43.099992367	response	R	NA	NA	NA	NA
44.700000867	response	R	NA	NA	NA	NA
46.900003267	response	R	NA	NA	NA	NA
48.564008667	response	R	NA	NA	NA	NA
50.532004067	response	R	NA	NA	NA	NA
52.131944067	response	R	NA	NA	NA	NA
53.964010767	response	R	NA	NA	NA	NA
55.699985467	response	R	NA	NA	NA	NA
57.432007367	response	R	NA	NA	NA	NA
59.164001767	response	R	NA	NA	NA	NA
